Nama,Kategori,Jumlah Porsi,Takaran Porsi,Kalori (kal),Lemak (g),Lemak Jenuh (g),Lemak Tak Jenuh Ganda (g),Lemak Tak Jenuh Tunggal (g),Kolestrol (g),Protein (g),Karbohidrat (g),Serat (g),Gula (g),Sodium (g),Kalium (g)
Nila (Ikan),Ikan & Seafood,1.0,gram (g),0.14285714285714285,0.026193428394296343,0.009979377119088396,0.03179950698438784,0.032123735871505056,0.125,0.5616783216783217,0.0,0.0,0.0,0.027556968733439324,0.17316513761467892
Kakap (Ikan) (Spesies Campuran),Ikan & Seafood,1.0,gram (g),0.14893617021276595,0.02061376317420955,0.00498095005068335,0.03771569433032046,0.016590653711415167,0.0925,0.5737062937062938,0.0,0.0,0.0,0.03391626921038686,0.239105504587156
Ikan Kembung,Ikan & Seafood,1.0,gram (g),0.2507598784194529,0.1449163050216987,0.04271383131182494,0.19252259654889073,0.21184480137484304,0.16,0.5404195804195804,0.0,0.0,0.0,0.041335453100158986,0.22305045871559634
Ikan Kembung Atlantik,Ikan & Seafood,1.0,gram (g),0.30851063829787234,0.21512709237445757,0.05692264671956377,0.2752670501232539,0.36063189900191694,0.17500000000000002,0.5202797202797204,0.0,0.0,0.0,0.04769475357710652,0.18004587155963303
Ikan Lele,Ikan & Seafood,0.0,porsi (85 g),0.3069908814589666,0.1912585244885307,0.048219091894159176,0.2565324568611339,0.36420120298763964,0.1475,0.41762237762237764,0.08814958717824187,0.004819277108433735,0.011076923076923078,0.1791202967673556,0.1588302752293578
Ikan Lele Panggang,Ikan & Seafood,1.0,gram (g),0.2765957446808511,0.18133911965282087,0.04542276905868783,0.2191454396055875,0.36572146209266976,0.1375,0.507972027972028,0.004978144730451675,0.0,0.0013846153846153847,0.20402755696873345,0.2029816513761468
Ikan Salmon,Ikan & Seafood,1.0,gram (g),0.2188449848024316,0.09175449473031619,0.02202104232933692,0.1636811832374692,0.1410536056580078,0.1125,0.6047552447552448,0.0,0.0,0.0,0.024377318494965557,0.24254587155963303
Salmon Merah Muda,Ikan & Seafood,1.0,gram (g),0.17325227963525835,0.05331680099194049,0.009752175888706352,0.11117502054231718,0.06173573930861261,0.13,0.5577622377622378,0.0,0.0,0.0,0.03550609432962375,0.18520642201834864
Ikan Sarden dalam Minyak (Kalengan),Ikan & Seafood,0.0,ikan sarden,0.034954407294832825,0.021078735275883453,0.003198294243070362,0.050780608052588334,0.030669574988432816,0.0425,0.08251748251748252,0.0,0.0,0.0,0.03232644409114997,0.027522935779816515
Ikan Sarden Di dalam Air,Ikan & Seafood,1.0,gram (g),0.32674772036474165,0.19156850588964663,0.04877835646125345,0.23985209531635168,0.3378941106484236,0.20500000000000002,0.6875524475524475,0.0,0.0,0.0,0.4864864864864865,0.2563073394495413
Sarden dengan Saus Tomat (Campuran),Ikan & Seafood,1.0,gram (g),0.27963525835866265,0.16196528208307504,0.04694326960047537,0.17354149548069023,0.31865952805869524,0.1525,0.5834965034965035,0.008984944147644489,0.0012048192771084338,0.006615384615384616,0.21939586645469,0.19552752293577982
"Ikan Teri (Kering Padat dalam Minyak, Kalengan)",Ikan & Seafood,0.04040404040404041,ikan teri,0.060790273556231,0.029913205207687543,0.007707364815267922,0.04207066557107642,0.04983805935620333,0.0425,0.1616783216783217,0.0,0.0,0.0,0.3889772125066243,0.0625
Tuna dalam Air (Kalengan),Ikan & Seafood,1.0,gram (g),0.17325227963525835,0.012554246745195289,0.004089622146876856,0.02769104354971241,0.010509617291294866,0.075,0.7135664335664336,0.0,0.0,0.0,0.1791202967673556,0.13589449541284404
Tuna dalam Minyak (Kalengan),Ikan & Seafood,1.0,gram (g),0.29787234042553196,0.12709237445753258,0.026809745185081616,0.23705834018077238,0.19492365655363872,0.045,0.8148251748251748,0.0,0.0,0.0,0.1875993640699523,0.11869266055045873
Tuna Sirip Biru (Ikan),Ikan & Seafood,1.0,gram (g),0.21580547112462006,0.07579045257284564,0.02196861127617183,0.11774856203779786,0.10575715513252695,0.095,0.6525874125874125,0.0,0.0,0.0,0.020667726550079493,0.14449541284403672
Tuna Sirip Kuning (Ikan),Ikan & Seafood,1.0,gram (g),0.16109422492401215,0.014569125852448853,0.004107099164598552,0.02333607230895645,0.010179126181505719,0.1125,0.653986013986014,0.0,0.0,0.0,0.0196078431372549,0.2545871559633028
Ikan Tuna Panggang,Ikan & Seafood,1.0,gram (g),0.22948328267477203,0.06122132672039678,0.01417386137229543,0.09605587510271159,0.10106418137352106,0.1325,0.7636363636363637,0.004978144730451675,0.0,0.0013846153846153847,0.19395866454689986,0.3004587155963303
Kepiting Panggang,Ikan & Seafood,1.0,gram (g),0.20364741641337386,0.09655920644761316,0.018752840015379774,0.16269515201314708,0.160354286469694,0.23500000000000001,0.5289510489510489,0.0013355998057309373,0.0,0.0,0.2856385797562268,0.1743119266055046
Kepiting Kalengan,Ikan & Seafood,1.0,gram (g),0.1474164133738602,0.01890886546807192,0.004404208465867384,0.036154478225143796,0.014409412386806797,0.2225,0.573986013986014,0.0,0.0,0.0,0.17647058823529413,0.2144495412844037
Kerang,Ikan & Seafood,1.0,gram (g),0.32674772036474165,0.1697148171109734,0.03872907127127827,0.27608874281018897,0.29182364994381654,0.135,0.5074125874125874,0.1273676542010685,0.006024096385542169,0.012615384615384615,0.2580816110227875,0.19323394495412846
Kerang (Spesies Campuran),Ikan & Seafood,1.0,gram (g),0.13069908814589665,0.01162430254184749,0.0013806844000139814,0.021446179129005753,0.0024456342124396856,0.0825,0.4693706293706294,0.028654686741136474,0.0,0.0,0.08532061473237944,0.18463302752293578
Kerang Panggang,Ikan & Seafood,1.0,gram (g),0.19756838905775076,0.05967141971481712,0.011342584501380683,0.09687756778964668,0.0950492431753586,0.1,0.5655944055944055,0.035454103933948516,0.0,0.0,0.2792792792792793,0.22305045871559634
Kerang Kukus atau Rebus,Ikan & Seafood,1.0,gram (g),0.1580547112462006,0.04773713577185369,0.009070572197560207,0.07748562037797864,0.07601295525150374,0.08,0.4525874125874126,0.028290432248664402,0.0,0.0,0.22363540010598837,0.16055045871559634
Lobster Kukus atau Rebus,Ikan & Seafood,0.0,"kecil (berat hidup 450 g) (hasil setelah dimasak, kulit dihilangkan)",0.1702127659574468,0.010384376937383758,0.002184627215211996,0.008709942481511914,0.012360367506114087,0.21,0.671048951048951,0.018212724623603693,0.0,0.0,0.4377318494965554,0.23623853211009177
Lobster Panggang,Ikan & Seafood,0.0,"kecil (berat hidup 450 g) (hasil setelah dimasak, kulit dihilangkan)",0.20516717325227962,0.05486670799752015,0.03402775350414205,0.01733771569433032,0.06140524819882346,0.225,0.6528671328671328,0.017727051966974258,0.0,0.0,0.3937466878643349,0.22993119266055048
Udang (Karang) Rebus atau Kukus,Ikan & Seafood,1.0,gram (g),0.12006079027355623,0.018288902665840052,0.003128386172183578,0.02990961380443714,0.0159957697137947,0.33,0.46517482517482517,0.0,0.0,0.0,0.2204557498675146,0.16857798165137616
Dimasak Hidup-hidup,Ikan & Seafood,1.0,gram (g),0.19908814589665652,0.06556106633601985,0.015152574364710404,0.10041084634346754,0.10714521779364136,0.14,0.6153846153846154,0.004978144730451675,0.0,0.0013846153846153847,0.2209856915739269,0.24483944954128442
Dipanggang Hidup-hidup,Ikan & Seafood,1.0,gram (g),0.19908814589665652,0.06556106633601985,0.015152574364710404,0.10041084634346754,0.10714521779364136,0.14,0.6153846153846154,0.004978144730451675,0.0,0.0013846153846153847,0.2209856915739269,0.24483944954128442
Tiram,Ikan & Seafood,1.0,gram (g),0.10030395136778116,0.0379727216367018,0.013492257681149287,0.07953985209531635,0.020754841694758414,0.1325,0.1972027972027972,0.04747450218552696,0.0,0.0,0.11181770005299418,0.08944954128440367
Udang Panggang,Ikan & Seafood,1.0,gram (g),0.23100303951367782,0.0778053316800992,0.016585689817889472,0.1373048479868529,0.11223478088439422,0.4575,0.6844755244755244,0.01420592520641088,0.0,0.0,0.2713301536830949,0.12844036697247707
Udang Kukus atau Rebus,Ikan & Seafood,1.0,gram (g),0.2066869300911854,0.03487290762554247,0.007480163584885874,0.07173377156943303,0.021812413246083684,0.495,0.7412587412587412,0.014448761534725595,0.0,0.0,0.31213566507684154,0.09690366972477064
Buncis,Kacang Kacangan,1.0,gram (g),0.044072948328267476,0.001704897706137632,0.00045440246076409514,0.004847986852917009,0.0003304911097891467,0.0,0.05090909090909091,0.08657115104419622,0.04096385542168675,0.021538461538461538,0.003179650238473768,0.1198394495412844
Kacang Panjang Hijau,Kacang Kacangan,1.0,gram (g),0.044072948328267476,0.001704897706137632,0.00045440246076409514,0.004847986852917009,0.0003304911097891467,0.0,0.05090909090909091,0.08657115104419622,0.04096385542168675,0.021538461538461538,0.003179650238473768,0.1198394495412844
Kacang Merah (Kalengan),Kacang Kacangan,1.0,gram (g),0.12613981762917933,0.005114693118412896,0.0008738508860847984,0.01552999178307313,0.0017846519928613922,0.0,0.14685314685314685,0.18929091792132102,0.07710843373493977,0.003384615384615385,0.1807101218865925,0.14736238532110094
"Kacang Belang (Biji Matang, Kalengan)",Kacang Kacangan,1.0,gram (g),0.1276595744680851,0.012399256044637324,0.002918661959523227,0.023746918652423992,0.010707911957168354,0.0,0.13594405594405595,0.18516270033997087,0.05542168674698795,0.003384615384615385,0.15580286168521465,0.1393348623853211
Kacang Belang (Biji Matang),Kacang Kacangan,1.0,gram (g),0.5243161094224924,0.01890886546807192,0.004107099164598552,0.03344289235825801,0.01513649282834292,0.0,0.5991608391608392,0.7594706168042739,0.18674698795180725,0.03246153846153846,0.006359300476947536,0.7987385321100918
